id,hard_skills,soft_skills,competences_recommandees
1378,Non spécifié,flexibilité organisation,Non spécifié
1379,sem python tableau power bi,synthèse organisation écoute orientation client,analyse de synthèse et dorganisation attention méticuleuse aux détails et capacité à résoudre les problèmes de manière proactive maîtrise des langages de programmationrequêtage tels que python sql sas maitrise dau moins un outil de dashboardingsas visual analytics qlikview bo qliksense tableau power bi  capacités découte et orientation client
1380,Non spécifié,organisation aisance relationnelle,Non spécifié
1381,python matlab sem data mining big data français anglais,synthèse relationnel diplomatie veille technologique curiosité,python analyse et esprit de synthèse  faire preuve de sens relationnel faire preuve de diplomatie  capacité à assurer une veille technologique dans le domaine concerné curiosité maitrise de la langue françaiselanglais est un plussavoir travailler en équipe coconstruire sens relationnel
1382,qualité,aisance relationnelle curiosité initiative organisation négociation leadership,compétences techniques et qualités personnelles requises  compréhension technique dans les outils et équipements destinés aux bâtiments aisance relationnelle curiosité sens dinitiative et de prospection pour favoriser de nouvelles affaires organisation pour gérer les comptes clients et les faire fructifier force de conviction esprit de négociation et de leadership
1383,Non spécifié,négociation communication,analyser le marché automobile pour définir et mettre en place une stratégie produit et des actions produit ayant pour finalité latteinte des objectifs de la marque proposer des offres produit ponctuelles force de proposition sur les actions stratégiques etou opérationnelles nécessaires à latteinte des objectifs qualitatifs et quantitatifs pour la gamme communication ecole de commerce
1384,Non spécifié,communication écoute empathie esprit déquipe,capacité à travailler en équipe compétences essentielles maîtrise de la communication orale et écrite écoute active et une empathie avérée capacité à gérer le stress et à travailler efficacement sous pression maîtrise des outils informatiques capacité à collaborer avec les collègues
1385,français espagnol,communication écoute patience empathie gestion du stress,compétences avérées en communication votre candidature sera tout aussi étudiée avec attention compétences linguistiques  maîtrise parfaite du français et de lespagnol oral et écrit est essentielle communication  excellentes compétences en communication orale et écrite savoir écouter attentivement et adapter son discours à son interlocuteur capacité à gérer les demandes clients avec patience professionnalisme et empathie capacité à gérer plusieurs appels simultanément maîtrise des outils informatiques  familiarité avec les outils informatiques et les logiciels de gestion de centre dappel est un plus
1386,Non spécifié,Non spécifié,Non spécifié
1387,java cloud rest api aws cicd jenkins soap spring boot,Non spécifié,experience in java experience in springboot microservices spring cloud experience with design and development of rest api knowledge of aws services cicd jenkins skills  apache camel apache tomcat html java javaserver faces jsf jboss jira or similar issue tracking system ms sql server primefaces soap spring boot spring framework sql svn rest xhtml xml nice to have experience  aws platform offerings web site design experience
1388,qualité,communication,communication  en tant que vendeuse de bonnes compétences en communication sont lune des qualités nécessaires forcez la communication avec les membres de léquipe commerciale les clients et les partenaires pour garantir une livraison dinformations et des commentaires précis
1389,java access,leadership communication communication collaboration,problemsolving experience in java development and system architecture experience in designing and developing largescale highperformance applications is highly desirable experience in working with various java frameworks and technologies and will be adept at using various software development tools and methodologies experience in working in an agile development environment will be beneficial skills  top requirements technical vision ability to design a clear vision for the technical direction of the system and epics and ability to articulate that vision to the team proficiency in testing and debugging ability to oversee the automation of system and functional tests skillsnice to have fluent working in agile and safe certified leadership must demonstrate strategic thinking must be able to deliver solutions that align with both business goals and system technical vision communication excellent written and verbal communication skills collaboration ability to work effectively with designers developers product owner and business owner problemsolving strong analytical and problemsolving skills ability to contribute when critical issues and incidents are raised ability to manage multiple projects and deadlines effectively skills customer focus and team player required to work in a dynamic iterative environment
1390,Non spécifié,responsabilité,Non spécifié
1391,arabe français qualité,relationnel négociation communication rigueur intégrité éthique,culture du résultat  prospecter et développer pour assurer une couverture complète de votre zone etou de votre canal  fidéliser suivre et optimiser les relations avec les clients existants  proposer des solutions et des activations pour augmenter les rotations chez vos clients  mettre en place des actions correctrices en cas de sousperformance dun client dun produit dune zone ou dun canal  assurer quotidiennement le suivi commercial et administratif de votre secteur et en rendre compte de manière précise compétences techniques  forte fibre commerciale et excellent sens du relationnel  maîtrise des techniques de vente de négociation et de persuasion  bonnes connaissances du circuit traditionnel ou chr  connaissance des outils informatiques et des technologies de communication de base  langues  arabe et français  bonne maîtrise orale et écrite qualités personnelles requises  orientation résultats et goût pour les challenges  capacité à convaincre  rigueur dans le suivi des clients  réactivité et dynamisme  capacité à travailler de manière autonome  bonne condition physique  intégrité morale et éthique  mobilité
1392,ecommerce,communication responsabilité,communication ou équivalent force de proposition excellentes capacités de communication aussi bien écrites quorales
1393,qualité qualité,collaboration responsabilité,culture institute objectif du poste  transversal projects lead collaboration étroite avec les clients en assurant la pertinence ladaptation et lefficacité des programmes pour répondre aux objectifs fixés par lum6p et lacadémie aait compétences   développer planifier et exécuter des programmes de formation en collaboration avec léquipe des formateursconsultants aait et les clients comprendre et intégrer leurs besoins spécifiques dans les programmes de formation collaboration avec des experts de contenu pour sassurer de lactualité et de la qualité des matériaux pédagogiques collaboration étroite comprendre en profondeur les objectifs de formation des clients et proposer des solutions adaptées analyse de performance pour la direction et les clients collaborer avec léquipe de marketing pour créer des matériaux promotionnels qui mettent en valeur loffre de formation de lacadémie
1394,iot,communication,culture research institute asari at mohammed vi polytechnic university um6p is seeking applications for a permanent position as a research engineer specializing in plant sciences and biotechnology experience in plant sciences and biotechnology experience in labfieldwork experience in research within the field of plant tissue culture metabolic engineering and molecular biology expertise in plant cell tissue and organ culture including organogenesis somatic embryogenesis and cell suspension culture ability to follow standard operating procedures keep exact detailed records and collect data communication skills skills ideally with skills in plant biology  in vitro culture metabolic engineering  molecular biology skills quickly ability to work both in a team and independently
1395,qualité français sage,communication relationnel écoute,compétences techniques et qualités personnelles requises  excellentes aptitudes de communication et de présentation  vous maîtrisez parfaitement la langue française  vous êtes à laise avec loutil informatique et internet  vous êtes dotée dun excellent sens du service  vous avez également un bon relationnel et une grande capacité découte compétences et acquérir de nouvelles expertises
1396,trello coordination,communication,experience in project management or pmo with experience managing large or complex projects skills 1 proficiency in project management tools e jira skills with the ability to generate project reports and make decisions based on data communication and crossdepartmental coordination skills able to drive progress across different teams problemsolving skills capable of addressing complex project challenges agile scrum proficiency in english communication skills able to work efficiently on multiple concurrent projects
1397,canva react azure,autonomie,experience in power platform can provide solution to client for the existing infrastructure skills hands on experience with sharepoint and spfx experience with power apps  dataverse  canvas vs modern drive apps content migration share gate tool for migration sharepoint migration tool sharepoint framework with reactjs nice to have  azure good to have skills general autonomie implication au travail
1398,Non spécifié,communication,experience in training module work knowledge methodologies and tools relevant to the position as well as familiarity with professional knowledge in another specific area knowledge in the training field such as the characteristics of corporate training and adult learning communication skills problemsolving skills general management skills
1399,conformité archivage tableau comptabilité sage access,responsabilité responsabilité organisation esprit déquipe,expérience en comptabilité compétences techniques  très bonne connaissance du logiciel sage parfaite maîtrise des outils informatiques ms office access et internet compétences comportementales  organisation coopération esprit déquipe
1400,sem français anglais crm proxy kpi,responsabilité,agile agile analyse les résultats pour alimenter et prioriser la roadmap de son produit et du backlog en accord avec les business owners et assure le bon fonctionnement de lamélioration continue du produit tout au long de sa durée de vie jira compétences techniques  une bonne connaissance des systèmes dinformation une expérience dans les activités de conception technique recette support utilisateur connaissance des méthodes de projet agile sous jiraconfluence
1401,dns dhcp access sage vpn,autonomie,experience in configuring the authorization and authentication configure postinstallation settings and personalization experience in endpoint security autonomie implication au travail
1402,audit contrôle de gestion anglais espagnol,leadership communication rigueur organisation,compétences  sens de lanalyse  leadership  bonne communication  rigueur et organisation
1403,comptabilité assurance audit fiscalité comptabilité anglais,rigueur organisation,connaissances en fiscalité normes ifrs et comptabilité analytique  connaissance du secteur dassurance et de réassurance serait un atout  maîtrise des logiciels informatiques de bureautique et de traitement comptable et fiscal  rigueur honnêteté méthode et organisation  anglais souhaité
1404,Non spécifié,communication,communication  première expérience en vente rémunération  salaire fixe variable poste basé à al hoceima
1405,français anglais crm qualité,autonomie relationnel esprit danalyse synthèse autonomie organisation initiative aisance relationnelle,maîtrise parfaite du français et une bonne connaissance de langlais sont exigées maîtriser les différentes phases du processus de recrutement capacité à gérer plusieurs projets simultanément et à faire preuve dune grande autonomie tout en restant collaboratif au sein dune équipe compétences suivantes sont indispensables pour ce poste  maîtrise des techniques de recrutement  sourcing entretiens évaluation des candidats analyse et de synthèse  capable didentifier les meilleurs candidats autonomie et organisation  capable de gérer plusieurs dossiers simultanément maîtrise des outils informatiques  logiciels de recrutement crm aisance relationnelle remarquable nhésitez plus
1406,Non spécifié,Non spécifié,connaissance des techniques de vente dautomobile serait un plus une expérience dau moins 3 ans dans le commercial
1407,qualité,organisation rigueur relationnel esprit déquipe communication négociation,connaissances approfondies en gestion de lénergie en maintenance industrielle et en gestion de projets sont fortement appréciées capacité à manager et à motiver une équipe ainsi que votre sens de lorganisation et de la rigueur seront déterminants pour réussir dans ce rôle compétences techniques en maintenance industrielle et en gestion de lénergie compétences techniques  connaissance des équipements industriels des systèmes de gestion technique du bâtiment gtb des normes de sécurité et denvironnement compétences managériales  capacité à encadrer et à motiver une équipe à déléguer et à gérer les conflits compétences organisationnelles  sens de lorganisation rigueur méthode et capacité à gérer les priorités compétences relationnelles  excellent relationnel esprit déquipe capacité de communication et de négociation maîtrise des outils informatiques logiciels de gestion de maintenance tableurs etc connaissance des réglementations en matière de sécurité et denvironnement est un plus
1408,contrôle de gestion analyse de données,innovation rigueur,connaissance des méthodes damélioration continue lean six sigma kaizen etc maîtrise des outils informatiques excel avancé erp logiciels de bi et des outils danalyse de données compétences analytiques et capacité à résoudre des problèmes complexes capacité à travailler en équipe pluridisciplinaire et à fédérer autour des projets rigueur et forte orientation résultats
1409,comptabilité contrôle de gestion reporting sap,collaboration rigueur synthèse rigueur organisation proactivité aisance relationnelle,maîtriser les concepts et les outils de contrôle de gestion connaissance des méthodes et techniques de gestion financière expérience en contrôle de gestion au sein dune branche distribution serait un plus significatif expertise technique et votre capacité à travailler en collaboration avec des opérationnels compétences clés pour ce poste rigueur votre sens de lanalyse et votre capacité à travailler en équipe maîtrisez parfaitement les outils informatiques notamment les logiciels de gestion et de reporting maîtrise des outils de gestion et de reporting excel sap business objects compétences analytiques et de synthèse capacité à travailler en équipe et à communiquer efficacement rigueur et sens de lorganisation proactivité et force de proposition aisance relationnelle et votre capacité à travailler de manière autonome vous permettront de réussir dans ce poste
1410,gestion des ressources humaines psychologie,communication négociation organisation gestion du temps écoute relationnel travail en équipe leadership initiative travail en équipe,connaissances solides en droit social en gestion des ressources humaines et en psychologie du travail expertise en gestion des ressources humaines de démontrer vos aptitudes en management et de mettre en pratique vos compétences en communication et négociation compétences sont essentielles pour réussir dans ce poste maîtrise des outils informatiques  vous êtes à laise avec les logiciels rh et les outils collaboratifs organisation et de gestion du temps  gérer plusieurs projets simultanément et respecter les délais communication et découte  pour communiquer efficacement avec tous les niveaux de lentreprise collaborer efficacement avec les différents services et partenaires leadership proposer des solutions innovantes et motiver les équipes
1411,nlp java typescript python cloud azure aws mongodb mysql postgresql,Non spécifié,java typescript python mongodb mysql postgresql
1412,français,communication organisation relationnel,capacité à apprendre rapidement à sadapter et à progresser dans un environnement commercial exigeant compétences suivantes  maîtrise du français tant à loral quà lécrit communication et de persuasion capacité à travailler en équipe et à collaborer efficacement maîtrise des outils informatiques notamment les logiciels de gestion de la relation client
1413,qualité français arabe anglais,leadership négociation rigueur éthique,compétences techniques et qualités personnelles  solides compétences en gestion des équipes et en leadership avec la capacité dencadrer et de développer les compétences des collaborateurs  connaissance approfondie des processus de recouvrement des réglementations en vigueur et des techniques de négociation adaptées aux dossiers complexes  maîtrise des outils digitaux de gestion du recouvrement et capacité à proposer des solutions innovantes pour améliorer lefficacité des processus  excellentes compétences analytiques permettant de prendre des décisions stratégiques pour optimiser les résultats de recouvrement  grande rigueur sens de léthique et une forte orientation vers la satisfaction client  maîtrise parfaite du français et de larabe est indispensable connaissance de langlais est un plus
1414,java angular soap bootstrap,communication,experience in an equivalent domain excellent communication skills in english and french minimum of 4 years of experience with javascript programming angular soaprest xmlhtmlcss knowledge of sdlc and itil best practices experience in servicenow development a plus angular agile scrum problemsolving
1415,access telnet ftp oracle java,communication,experience in an equivalent domain excellent communication skills in english and french minimum of 4 years of experience in system integration telcom understanding of network access tools  telnetsftp etc experience with database and webserver connection setups knowledge of sqlnonsql nice to have a strong background on how the overall systems work end to end from infrastructure hw  os to database oracle to java jvm and webservers to ensure high throughput is maintained is essential
1416,react typescript java aws gitlab cicd access cloud azure kubernetes nosql mysql redis mongodb,communication,experience in an equivalent domain excellent communication skills in english minimum of 4 years of experience with nextjs node react typescript java experience with version control systems such as git gitlab cicd experience with saas platforms like uniform contentstack is prefered experience with agiledevops methodologies and related tools including confluence and jira strong understanding of web development principles including html css and responsive design experience with testing frameworks for frontend applications problemsolving skills experience with accessibility best practices and wcag guidelines experience with performance optimization techniques for web applications experience with performance optimization techniques for web applications and be able to identify and address performance bottlenecks experience with frontend build tools such as webpack or parcel experience with frontend build tools such as webpack or parcel and be able to configure and maintain build processes for frontend applications experience with cloud platforms such as aws or azure experience with cloud platforms such as aws or azure and be able to deploy and manage web applications in the cloud experience with design systems and component libraries experience with design systems and component libraries and be able to contribute to the development and maintenance of these systems experience with user research and usability testing experience with user research and usability testing and be able to gather user feedback and iterate on designs based on that feedback experience with container as a service platforms caas like kubernetes and red hat openshift experience with single sign on approaches and protocols such as oidc and saml experience with sql and nosql database queries mysql redis mongodb experience with crossbrowser compatibility testing experience with crossbrowser compatibility testing and be able to ensure that web applications function correctly across different browsers and devices
1417,google analytics java cloud assurance kotlin swift c,communication,experience in an equivalent domain excellent communication skills in english at least 4 years of experience in digital analytics such as adobe analytics or google analytics focusing on measurement of digital performance data integration and development strong javascript html css and computer programming concepts advanced knowledge of dynamic tagging solutions adobe tagslaunch adobe event forwarding gtm firebase analytics good understanding of data collection and hands on experience using aep mobile and firebase analytics sdks handson experience creating maintaining sdr implementations adobe analytics and related adobe experience cloud tools expert adobe experience platform adobe realtime cdp etc experience with digital analytics qa tools such as browser network calls extensions i experience with apps debugging tools like charles assurance ability to own and work independently on assigned deliverables but also collaborate with multiple team members and stake holders when necessary strong organizational communications and time management skills nice to have experience with other tms adobe tags google tag manager tealium ensighten etc experience with aep web sdk proficiency with building reports  dashboards with adobe analytics google analytics 4 etc experience with tagging mobile apps familiarity with apps technologies such kotlin swift c as xcode
1418,java python mysql oracle,communication,experience in an equivalent domain excellent communication skills in english minimum of 4 years of experience with java python j2ee elk and associated frameworks familiarity with databases e mysql oracle python ability to work well in a team environment nice to have independent and autonomous thinker with a strong problemsolving mentality capable of independently identifying and resolving challenges organized and detailoriented with demonstrated ability to track progress collaborate effectively with teams and meet deadlines openminded and adaptable demonstrating a willingness to learn experience with agile methodologies
1419,français anglais,communication,compétences en rédaction et en communication  créatif et ouvert à de nouvelles idées  expérience préalable en gestion de communauté et en marketing en ligne un atout  maîtrise des réseaux sociaux et des outils de gestion de communauté  bonne maîtrise du français et de langlais tant à loral quà lécrit si vous êtes passionné par le marketing en ligne et que vous avez le talent pour connecter avec notre communauté nous aimerions vous rencontrer
1420,Non spécifié,communication orientation client,compétences en communication et en relations interpersonnelles capacité à gérer les situations stressantes et à résoudre les problèmes rapidement connaissance des logiciels de gestion hôtelière est un atout
1421,génie civil,Non spécifié,connaissance des métiers facility management
1422,reporting planification qualité etl informatica reporting sap power bi oracle,Non spécifié,expérience en tant que consultant spécialiste business intelligence compétences requises une connaissance autour de la solution etl informatica une expérience sur au moins un outil de reporting majeur sap business objects power bi qlickviewetc de bonnes connaissances en  oracle sql plsql et les outils de développement associés
1423,Non spécifié,relationnel organisation fiabilité écoute,organisationnel pour la prise en charge et le suivi technique des commandes clients maitrise des outils de bureautique capacité à travailler en équipe intégration entraide écoute
1424,planification français anglais,responsabilité organisation relationnel,compétences techniques niveau dexpérience professionnelle à partir de 3 ans en programmation et développement dapplications informatiques en mainframe agile compétences comportementales ayant travaillé dans un contexteéquipe agile organisation et de la planification aptitude au travail déquipe sens du contact  bon relationnel compétences linguistiques français
1425,kanban qualité java maven jenkins,responsabilité veille technologique curiosité rigueur écoute,analyse et conception de solutions elaboration des spécifications techniques et fonctionnelles développement des applications spécifiques répondant au besoin du client agile scrum force de proposition sur les développements techniques evaluation et respect de la charge de travail coaching et accompagnement des profils junior connaissance des pratiques dintégration et déploiement continus et de leur mise en uvre veille technologique active connaissances acquises curiosité travaille en équipe rigueur à lécoute et autonome capacité à se familiariser avec un domaine métier compétences  maitrise la technologie portail liferay obligatoirement maitrise des technologies suivantes  html xhtml css javascript java 7 java ee 6 jsp maven jenkins
1426,sem thermique,collaboration résolution de problèmes,connaissance des systèmes électriques et thermiques particulièrement dans les applications de stockage dénergie  capacité à lire et interpréter des dessins mécaniques des schémas et des manuels techniques  8 ans dexpérience minimum en tant que technicien mécanique idéalement dans les systèmes de stockage dénergie par batterie les énergies renouvelables ou la maintenance industrielle capacité à travailler en collaboration avec des équipes multifonctionnelles y compris des techniciens en électricité et en logiciels  maîtrise de lutilisation des outils manuels des outils électriques et des équipements de mesure de précision  grande attention aux détails et compétences en résolution de problèmes notamment dans le diagnostic des pannes mécaniques  familiarité avec les normes de sécurité industrielle et lutilisation déquipements de protection individuelle epi  capacité à réaliser des tâches physiques liées à lassemblage et à la maintenance mécanique  connaissance des procédures de sécurité liées aux équipements à haute tension et à la manipulation de machines lourdes dans les applications bess
1427,cloud,Non spécifié,Non spécifié
1428,c c sem java php,responsabilité autonomie travail en équipe initiative,analyse conception réalisation gestion de configuration support de client compétences techniques  uml merise rational rose  ccc cobol visual c assembleur  javascript flash dreamweaver visual basic php  sql plsql framework  compétences comportementales   esprit danalyse  autonomie  travail en équipe  esprit dinitiative
1429,qualité gestion des risques,organisation,compétences et qualités requises  expérience professionnelle dans la sécurité de linformation et la gestion des risques  bonne connaissance des normes de sécurité si et réglementations en vigueur  compétence en matière de gestion de projets  connaissance des technologies de sécurité et des outils associés  connaissance des méthodologies danalyse de risques de sécurité  capacité danalyse et de sens de lorganisation  capacité à travailler en équipe
1430,java oracle,communication,compétences générales profil dingénieur bac5 avec un minimum de 3 dexpérience maitrise des méthodologies projet un sens de la communication orale et écrite développé   connaissances techniques langage de programmation plsqljava oracle connaissances en infrastructure souhaitable
1431,Non spécifié,Non spécifié,maîtrise duvre bancaire société de financement ou autre vous maîtrisez un ou plusieurs domaines technicofonctionnels moyens de paiement cash management et systèmes déchanges gestion des incidents de paiement chèquelcn
1432,français sage,communication volonté,communication en français tant dun point de vue écrit quoral   vous êtes dotée dune grande capacité dadaptation   vous disposez de solides bases comptables   vous êtes dotée dune réelle volonté dapprentissage   si vous avez déjà effectué un stage en relation avec nos domaines dactivité cela constitue un atout significatif
1433,français anglais,communication rigueur,maîtrise du système badr base automatisée des douanes en réseau est obligatoire maîtrise du système portnet est obligatoire communicationnelle avec les parties prenantes
1434,comptabilité supervision comptabilité sap,capacité danalyse communication,analyses de comptes  préparation des déclarations de tva mensuelles  préparation et suivi des rapprochements bancaires  participer aux clôtures mensuelles et annuelles  assurer la supervision des travaux comptables  participation aux inventaires physiques maîtrisez les normes comptables et la réglementations fiscale marocaine analyse de communication et dinteraction avec les différents partenaires internes et externes à lentreprise maîtrisez parfaitement excel
1435,catia sap lamp,Non spécifié,ability to prepare documents in english and manage discussions and meetings with foreign suppliers and stla departments in the other regions knowledge  good knowledge of physics optics and photometry  knowledge of cad tool preferably ug and catia  knowledge of one optical simulation tool a ability to perform forward raytracing and backward raytracing simulations  knowledge and critical evaluation capability of litapperance luminance map  illuminance map and renderings simulations  optical design expirience and capability i ability to prepare documents in english managing skills discussions and meetings with foreign suppliers and stla departments in the other regions previous experiencein autmotive extiriorinterior lighting optical design headlamps rearlamps and ambient light capability to perform forward raytracing and backward raytracing simulations optical design expirience and capability i knowledge of physics optics and photometry cad tool preferably ug and catia optical simulation tool a
1436,Non spécifié,communication relationnel autonomie responsabilité,compétences et aptitudes requises   connaissance de la législation de travail   maîtrise des processus et des procédures relatives à la rémunération et la gestion de la paie et de leur application   bonne communication et bon relationnel   autonomie et sens aigue de responsabilité   proximité avec les opérationnels
1437,qualité,communication autonomie proactivité innovation rigueur organisation,maîtrise des outils informatiques   connaissance des systèmes de management de la qualité smq communication claire et proactive   autonomie et proactivité   esprit dinnovation   rigueur et organisation   capacité danalyse
1438,planification sem contrôle de gestion comptabilité sage français anglais,responsabilité autonomie organisation prise de décision,analyses comptables détaillées des résultats mensuels et trimestriels à la haute direction analyses des notes et des rapports ponctuels comprendre lincidence financière des décisions et déterminer quand et comment agir comprendre et documenter les rapports de continuité des flux de trésorerie comprendre le lien entre les résultats financiers et les facteurs déterminants connaissance des normes ifrs et titre de cpa un atout expérience avec les systèmes de planification des ressources de lentreprise requis connaissance du logiciel sage un atout expérience avec le processus de clôture de fin de mois et les produits à recevoir organisation excellente capacité à bien travailler sous pression et à gérer des échéances serrées analyse et capacité danalyser les résultats et les tendances commerciales sousjacentes connaissances de la suite microsoft office maîtrise du français et de langlais tant à loral quà lécrit
1439,iso 9001 qualité,écoute qualités relationnelles rigueur leadership organisation,expérience avec le logiciel de gmao coswin connaissances des systèmes de management intégrés iso 90014500114001 compétences comportementales  esprit danalyse réactivité écoute active et excellentes qualités relationnelles rigueur leadership et sens de lorganisation
1440,iso 9001,communication rigueur,expertise dans lutilisation de la gmao notamment coswin connaissances des normes de systèmes de management intégré iso 90014500114001 compétences comportementales  esprit déquipe esprit danalyse et sens de la sécurité communication rigueur et méthode
1441,qualité,adaptabilité patience écoute organisation,connaissances compétences et qualités nécessaires  savoirêtre o sens de laccueil o tenue et expression correctes o réactivité o adaptabilité o patience o vigilance écoute et de régulation o devoir de confidentialité o capacité à communiquer o capacité à gérer les personnes agressives o sens de lorganisation
1442,qualité sage google sheets powerpoint canva,relationnel,maîtrisez les nouveaux outils de productivité et de design  google sheets google forms powerpoint canva nont aucun secret pour vous  pourquoi nous rejoindre  un poste où chaque journée est différente et où vous ne vous ennuierez jamais  lopportunité de faire partie dun événement emblématique pour les entreprises marocaines
1443,qualité planification,communication relationnel leadership éthique prise de décision adaptabilité patience résilience écoute communication organisation travail en équipe,expérience en tant que directrice de crèche ou coordinatrice de crèche ou 10 ans dexpérience en tant quéducatrice dans une crèche  excellentes aptitudes à la communication orale et écrite et excellent relationnel  vous êtes rigoureuse et êtes prête à vous investir entièrement dans votre travail  vous avez une bonne maitrise des outils informatiques pack office  vous êtes capable de travailler dans un environnement exigent et avec de la pression connaissances compétences et qualités nécessaires  savoirêtre o leadership o sens de laccueil et éthique professionnelle o réactivité et prise de décision o adaptabilité o patience et résilience o vigilance  savoirfaire o gestion de projet pédagogique o encadrement et motivation de léquipe o techniques découte et de régulation o confidentialité et éthique o communication claire et diplomate o gestion des situations sensibles o organisation et planification o travail en équipe et délégation  gestion des ressources pédagogiques et administratives  suivi des réglementations et normes en petite enfance
1444,sage français anglais,synthèse communication organisation,capacité à identifier et diagnostiquer les problématiques rencontrées dans les différentes étapes du procédé  excellentes habiletés danalyse de synthèse et de communication  expérience de 1 an ou plus en traitement de minerai concassage broyage cyanuration flottation et filtration est un atout culturelle  excellentes aptitudes pour développer et maintenir de bonnes relations interpersonnelles  posséder des compétences en organisation et en communication  attitudes recherchées en général  dynamique autonome positif flexible polyvalent et sens prononcé de lorganisation du travail  habiletés à travailler en équipe et à gérer efficacement un projet  capacité de travailler sous pression
1445,notion laboratoire français,communication responsabilité travail en équipe rigueur organisation synthèse,compétences techniques  notion académique sur la mécanique des roches et soles notion académique sur les essais mécaniques du laboratoire connaissances générales de lexploitation minière notion sur les logicielles de la mécanique des roches notions en soutènement aérage et exhaure méthode dexploitation notion sur les logiciels de la mine atout savoirêtre et softskills  bonne aptitude communicationnelle français anglai disponibilité capacité dadaptation sens du détail et observation résistance physique sens de responsabilité travail en équipe rigueur et organisation esprit de synthèse intérêt pour les nouvelles technologies et leurs problématiques capacité dautoformation gestion dinterfaces permis b nécessaire
1446,supervision planification anglais français,organisation résolution de problèmes intégrité éthique communication responsabilité travail en équipe rigueur synthèse,compétences techniques  une bonne connaissance du domaine de lexploitation à ciel ouvert connaissance des logiciels la mine en particulier deswik culturel capacité à communiquer efficacement à tous les niveaux de lorganisation compétences en matière de formation et de mentorat et être capable de développer une équipe efficace analyse et de résolution de problèmes skills  bonne aptitude communicationnelle français anglai disponibilité capacité dadaptation avoir une expérience de travail dans un environnement multiculturel sens du détail et observation résistance physique sens de responsabilité travail en équipe rigueur et organisation esprit de synthèse intérêt pour les nouvelles technologies et leurs problématiques capacité dautoformation gestion dinterfaces permis b nécessaire
1447,notion français anglais,communication responsabilité travail en équipe rigueur organisation synthèse,communicationnelle français anglais disponibilité capacité dadaptation sens du détail et observation résistance physique sens de responsabilité travail en équipe rigueur et organisation esprit de synthèse intérêt pour les nouvelles technologies et leurs problématiques capacité dautoformation gestion dinterfaces permis b nécessaire
1448,notion géotechnique,communication responsabilité travail en équipe rigueur organisation synthèse,connaissances générales de lexploitation minière notions en soutènement aérage et exhaure méthode dexploitation notion sur les logiciels de la mine atout bonne aptitude communicationnelle disponibilité capacité dadaptation sens du détail et observation résistance physique sens de responsabilité travail en équipe rigueur et organisation esprit de synthèse intérêt pour les nouvelles technologies et leurs problématiques capacité dautoformation gestion dinterfaces permis b nécessaire
1449,français anglais qualité sem,orientation client communication,maîtrise courante du français et de langlais niveau c1c2 compétences essentielles   écoute active  compréhension empathique des besoins des clients communication persuasive  capacité à communiquer efficacement pour résoudre les problèmes et proposer des solutions communication écrite  maîtrise de la rédaction de documents clairs et concis conformément aux normes de lentreprise
1450,logistique planification ordonnancement,communication organisation esprit danalyse,capacité à gérer efficacement les processus de production et à anticiper les besoins opérationnels compétences requises pour ce poste incluent  maîtrise des outils de planification et dordonnancement capacité à travailler sous pression et à respecter les délais excellentes compétences en communication et en travail déquipe orientation résultats et sens de lorganisation esprit danalyse et capacité à résoudre les problèmes maitrise de lerp
1451,big data linux spark hadoop cloud aws azure,Non spécifié,Non spécifié
1452,anglais spark scala cloud,Non spécifié,expertise databricks encadrement technique déquipe anglais niveau b1b2 maîtrise des langages pyspark ou sparkscala et sql une certification databricks data engineer ou cloud architect est un plus join us and rewrite the future
1453,big data spark scala hadoop kafka,Non spécifié,maîtrises les technologies suivantes  spark scala et son écosystème hadoop hdfs mapreduce hive et kafka tu as déjà idéalement encadré techniquement des équipes de développement et tu as contribué à leur montée en compétences join us and rewrite the future
1454,anglais python spark hadoop cicd cloud,communication,expérience en encadrement déquipe bon niveau de communication en anglais niveau b1b2 maîtrise des langages python sql expertise sur les frameworks spark hadoop pipeline cicd pour les développements et infra as code expertise sur les services cloud data platform gcp  bigquery cloud storage dataproc dataflow cloud composer vertex ai looker une certification gcp data engineer ou cloud architect est un plus  join us and rewrite the future
1455,sap access anglais,synthèse relationnel écoute négociation organisation rigueur communication,analyser les besoins des différents départements rh pour nos outils sirh proposer des améliorations compétences et aptitudes  connaissances fonctionnelles dans les outils sirh sap ssf hr access  bonne maîtrise de langlais aptitude à travailler en équipe capacités danalyse et de synthèse capacités relationnelles découte de négociation sens de lorganisation et rigueur compétences en communication et en présentation
1456,reporting sem qualité,organisation collaboration qualités relationnelles,organisation lencadrement lanimation et le suivi du recouvrement de la force de vente en charge de la région concernée la mise en place de toutes les actions commerciales nécessaires à la vente des produits de la société lorganisation lencadrement lanimation et le suivi de la force de vente en charge de la zone concernée pour assurer un développement commercial optimal la détermination des objectifs commerciaux à atteindre par ses collaborateurs et des moyens à mettre en place après analyse et évaluation des différentes composantes du marché le recouvrement le service aprèsvente le déploiement des actions marketing dans votre région en collaboration avec les équipes centrales suivi des tendances et des projets de la concurrence et maintien dune veille sur le marché le reporting de votre activité
1457,Non spécifié,Non spécifié,Non spécifié
1458,audit,relationnel synthèse,analyse dun esprit de synthèse et vous êtes rigoureuxse
1459,comptabilité,rigueur organisation organisation,maîtrise des outils bureautiques connaissance des logiciels comptables maîtrise des principes de base de la comptabilité rigueur et sens de lorganisation
