id,titre,site_name,date_publication,nom_entreprise,description_poste,region,ville,secteur_activite,metier,type_contrat,niveau_etudes,experience,profil_recherche,hard_skills,soft_skills,competences_recommandees,langue,salaire,teletravail
11,dveloppeur senior fullstack,https://www.wetech.ma/,2024-11-08,giantlink,descriptif du poste  assurer la livraison des développements des tâches attribuées   évaluation de la complexitéestimation du temps des tâches de développement  mise en uvre des tâches planifiées dans loutil de gestion de tickets  respect des délais de développement  apporter lexpertise technique aux différents projets selon leur domaine   participer à la conception des nouveaux projets  apporter des solutions techniques sur des projets en cours ou existants  pouvoir livrer rapidement des prototypes fonctionnels  remonter les problèmes techniques repérés lors des développements et maintenances   mettre au courant léquipe lors dun problème jugé important repéré dans le code  signaler des dysfonctionnements en production  partager les connaissances techniques et métier au sein de léquipe de développement  o assister les autres développeurs ayant besoin daide sur un projettâche o apporter des éléments de réponse et des solutions au support technique  participer pleinement au quotidien du projet et de léquipe devops  participation aux cérémonies scrum  daily 9h00 sprint planning sprint review refinement retrospectives  participations aux séances éventuelles de travail avec les autres équipes  produits et solutions devops embedded services clients,fes,fes,pme  it  telecom,Non spécifié,cdi,non spécifié,1-3 ans,profil recherché  expérience de 5 ans minimum à un poste équivalent  8 ans dexpérience minimum en développement logiciel et architecture microservices api rest  node js html  css  react  maîtrise des pratiques dintégration et de déploiement continus cicd  maitrise dun large spectre de technologies cloud et logiciel  bonne connaissance du product management  rompu au fonctionnement scrum  langue de travail  français niveau anglais  b2,react cicd cloud français anglais,Non spécifié,développement logiciel api rest react maîtrise des pratiques dintégration et de déploiement continus cicd scrum,français anglais,à négocier,0
12,consultants techniques senior servicenow,https://www.wetech.ma/,2024-11-08,giantlink,descriptif du poste nous sommes à la recherche de consultants techniques expérimentés sur la plateforme servicenow pour rejoindre notre équipe dynamique si vous avez une expertise dans limplémentation la configuration et la personnalisation de servicenow nous voulons vous entendre  vos principales responsabilités seront les suivantes   analyser les besoins des clients et proposer des solutions adaptées sur servicenow  personnaliser et configurer les modules en fonction des exigences clients  assurer le support technique et former les utilisateurs pour garantir leur autonomie  collaborer étroitement avec les équipes projet afin dassurer la réussite des déploiements,fes,fes,pme  it  telecom,Non spécifié,cdi,bac5,3-5 ans,profil recherché  bac5 ou un diplôme équivalent dans le développement informatique  expérience avérée de 3 ans et plus sur servicenow modules itsm itom itbm etc  compétences en développement javascript html css  connaissance des bonnes pratiques itil  capacité à travailler en équipe et à communiquer efficacement avec les clients  certifications servicenow,java,Non spécifié,compétences en développement javascript html css  connaissance des bonnes pratiques itil  capacité à travailler en équipe et à communiquer efficacement avec les clients  certifications servicenow,francais,à négocier,0
13,stage rmunr fs technicien systmes et rseaux,https://www.wetech.ma/,2024-11-08,giantlink,descriptif du poste giantlink propose des opportunités de stage pour des candidats ayant déjà obtenu un diplôme dans le domaine de linformatique sans restriction quant au type de stage recherché pfe stage conventionné etc les missions principales consisteront à assurer la gestion linstallation et la maintenance du matériel informatique y compris les postes informatiques et périphériques,fes,fes,pme  it  telecom,Non spécifié,stage,bac  2,1-3 ans,profil recherché bac  2 ou plus en réseaux et telecom bonne communication en français anglais souhaitable,français anglais,communication,communication en français anglais souhaitable,français anglais,stage rémunéré,0
14,stage rmunr dveloppeur informatique,https://www.wetech.ma/,2024-10-31,giantlink,descriptif du poste giantlink offre des opportunités de stage pour des candidats ayant obtenu un diplôme en informatique les principales missions incluront le développement et la maintenance de logiciels la participation à la conception dapplications web ainsi que le support technique des utilisateurs,fes,fes,pme  it  telecom,Non spécifié,stage,diplôme de bac2,1-3 ans,profil recherché nous recherchons des profils motivés qui ont un diplôme de bac2 et plus pour un stage à fès passionnés par le développement informatique vous serez impliqué dans le codage le test et le déploiement de solutions logicielles ainsi que dans loptimisation des performances des applications une sensibilisation aux pratiques de développement sécurisé et à la gestion de versions est attendue,non spécifié,Non spécifié,Non spécifié,francais,stage rémunéré,0
15,ingnieur devopsingnieure devops,https://www.wetech.ma/,2024-10-16,cnexia,descriptif du poste as a devops engineer your main responsibilities will be as follows configure and maintain kubernetes environments monitoring of kubernetes environments troubleshoot and resolve issues implement and maintain infrastructure and tools for continuous integration and delivery implement and maintain monitoring and logging systems to ensure system performance and reliability troubleshoot and resolve issues with software systems and infrastructure develop and maintain automated testing and deployment scripts ensure compliance with security and regulatory requirements,rabat,rabat,grande entreprise  it  telecom,Non spécifié,cdi,university or college degree in engineering,1-3 ans,profil recherché university or college degree in engineering computer sciences physic mathematics or relevant experience in equivalent domain excellent communication skills in english minimum of 3 years experience in kubernetes administration openshift native k8s eks gke containers docker etc cicd pipeline tools gitlab runners helm charts yaml scripting argocd openshift pipelines etc system adminstration linux scripting in bash python etc,kubernetes docker cicd gitlab linux python,communication,experience in equivalent domain excellent communication skills in english minimum of 3 years experience in kubernetes administration docker cicd gitlab python,francais,tbn,0
16,intgrateurs web polyvalents agence digitale casablanca,https://www.wetech.ma/,2024-10-16,paul et josé,descriptif du poste lintégrateur web chez paul  josé a pour mission dassembler de la façon la plus optimale différents éléments composant un site pour réaliser sa mission lintégrateur web manipule certaines technologies du web dynamique tels que javascript html css et autres afin dintégrer  texte image tableaux et liens hypertextes suite à cela il adapte le site aux différentes plateformes ordinateurs téléphones tablettes et vérifie de même sa compatibilité avec les différents navigateurs il réalise ainsi de multiples tests et corrige les éventuelles défaillances il participe activement à la préparation du projet lors de la phase de réflexion et il use de son savoirfaire pour apporter un point de vie et suggérer des solutions techniques pour faire face à son rapide développement paul  josé recrute une intégrateur débutant pour la découpe et lintégration de sites ainsi que pour la mise en place de notre cms sur nos maquettes,casablanca,casablanca,pme  marketing  communication  média,Non spécifié,cdi,non spécifié,1-3 ans,profil recherché votre polyvalence est votre force   vous codez le html 5css3 et le javascript jquery les yeux fermés sur bloc note   vous maîtrisez les grids et bootstrap et savez rendre vos sites responsifs   vous êtes capable de comprendre un code php et le modifier   soucieux de laccessibilité vous accordez une grande importance à ce que vos sites soient aux normes w3c et fonctionnent parfaitement sous firefox ie safari et chrome   vous êtes un enfant du web curieux des dernières avancées de votre métier et vous vous intéressez à chacune des étapes de la production de la conception de la maquette au référencement sur les principaux moteurs de recherche   issue dune formation dédiée aux techniques du développement web vous justifiez dune expérience dans une fonction similaire stage accepté et pouvez présenter des travaux   votre personnalité et votre capacité danalyse vous permettront dêtre autonome dans un processus collectif et davoir conscience de la satisfaction client   vous êtes organisée rigoureuxse et savez tenir des délais la langue française na pas de secret pour vous,css3 java jquery bootstrap php access français,polyvalence capacité danalyse,polyvalence est votre force java maîtrisez les grids et bootstrap et savez rendre vos sites responsifs comprendre un code php et le modifier présenter des travaux analyse vous permettront dêtre autonome dans un processus collectif et davoir conscience de la satisfaction client,français,plan de carriere,0
17,full stack software developer,https://www.wetech.ma/,2024-10-16,cnexia,descriptif du poste as a full stack software developer your main responsibilities will be as follows participate actively in the development and implementation of automation scripts leveraging advanced programming techniques to enhance operational efficiency assume responsibility for the configuration and integration of ran components ensuring their alignment with stringent quality and performance standards conduct thorough troubleshooting investigations to identify and resolve network issues minimizing downtime and maximizing network availability stay abreast of the latest advancements in 5g ran technologies actively contributing to knowledge sharing and dissemination within the team foster a culture of continuous improvement by identifying opportunities for process optimization and implementing innovative solutions provide technical guidance and support to other team members fostering a collaborative and supportive work environment document all software development and troubleshooting activities ensuring comprehensive knowledge transfer and adherence to best practices comply with all relevant safety security and regulatory guidelines demonstrating a commitment to maintaining a secure and compliant network environment,rabat,rabat,grande entreprise  it  telecom,Non spécifié,cdi,university or college degree in engineering,1-3 ans,profil recherché university or college degree in engineering computer sciences physic mathematics or relevant experience in equivalent domain excellent communication skills in english minimum of 3 years experience in kubernetes native application development skill expertise in git and cicd pipelines with cloud application developments proficiency in programming languages such as python java and php familiarity with linux communications protocols and architectures including tcpip and osi models some basic knowledge with ran tools nokianetact or ericssonenmamos,kubernetes cicd cloud python java php linux tcpip,communication,experience in equivalent domain excellent communication skills in english minimum of 3 years experience in kubernetes native application development skill expertise in git and cicd pipelines with cloud application developments proficiency in programming languages such as python java and php familiarity with linux communications protocols and architectures including tcpip and osi models some basic knowledge with ran tools nokianetact or ericssonenmamos,francais,Non spécifié,0
18,testeur qa automaticien,https://www.wetech.ma/,2024-10-16,matys,descriptif du poste nous recrutons pour notre client éditeur de logiciel de gestion français un ingénieur test automatisé qui aura comme mission lintégration des tests automatisés dans devops,rabat,rabat,pme  it  telecom,Non spécifié,cdi,non spécifié,3-5 ans,profil recherché  expérience confirmée dans le testing 3 ans minimum  maitrise dun outil dautomatisation ranorex telerik test studio uft selenium et de la méthodologie bdd gherkin  maîtrise dun ou de plusieurs langages de programmation c azure devops cicd pipeline jmeter loadrunner  connaissance de la méthodologie agile prerequis  ethique  sens de la discrétion et de la confidentialité missions  participer à la mise en place de la testing factory  accompagner fortement les équipes produits dans la mise en place de la stratégie dautomatisation de tests autour des méthodologies de tests bdd gherkin tdd et e2e avec ranorex  intégrer chaque produit pendant une courte période et réaliser des poc utilisables  former les testeurs automatisés pour une montée en compétence sur la méthodologie gherkin  sécuriser lintégration des tests automatisés tu ti tests fonctionnels tests de performance dans devops accompagner fortement les ingénieurs devops et sre dans la sécurisation des meps  être disponible pour les testeurs manuels pour un accompagnement dans la rédaction des cas de tests candidats à lautomatisation competences force de proposition aisance relationnelle rigueur capacité à travailler en mode projet esprit danalyse et de synthèse et réactivité,c azure cicd,aisance relationnelle rigueur synthèse,selenium maîtrise dun ou de plusieurs langages de programmation c azure devops cicd pipeline jmeter loadrunner  connaissance de la méthodologie agile prerequis  ethique  sens de la discrétion et de la confidentialité missions  participer à la mise en place de la testing factory  accompagner fortement les équipes produits dans la mise en place de la stratégie dautomatisation de tests autour des méthodologies de tests bdd gherkin tdd et e2e avec ranorex  intégrer chaque produit pendant une courte période et réaliser des poc utilisables  former les testeurs automatisés pour une montée en compétence sur la méthodologie gherkin  sécuriser lintégration des tests automatisés tu ti tests fonctionnels tests de performance dans devops accompagner fortement les ingénieurs devops et sre dans la sécurisation des meps  être disponible pour les testeurs manuels pour un accompagnement dans la rédaction des cas de tests candidats à lautomatisation competences force de proposition aisance relationnelle rigueur capacité à travailler en mode projet esprit danalyse et de synthèse et réactivité,francais,package intéressant,0
19,ingnieur data snior,https://www.wetech.ma/,2024-10-16,tersea,descriptif du poste en tant que professionnel chargé de la gestion des données vous effectuez la collecte lorganisation et la modélisation des données pour les rendre accessibles vous êtes également responsable de la veille technologique afin de rester à jour des avancées dans le domaine des données votre expertise est essentielle et prise en compte lors des prises de décision au sein du groupe vos missions consistent à concevoir des solutions pour collecter organiser et synthétiser de gros volumes de données participer à lanalyse complexe de données provenant de différentes sources assurer une veille technologique permettant de tester de nouvelles fonctionnalités et nouveaux outils assurer une maintenance progressive et évolutive des solutions mise en production documenter vos travaux faire un usage responsable et éthique des données maitrise des technologies  python bdt airflow data integration  elt expérience en data visualisation avec tableau est un plus systèmes dexploitation  linux windows connaissances en solutions de bases de données  sql nosql inmemory database connaissance générale en termes de big data proposition darchitectures et doptimisation de la base de données mener et animer les réunions entre les différentes parties prenantes recueillir et spécifier les exigences liées à la base de données mettre en place des actions préventives pour le monitoring de la base de données production et communication des rapports analytiques,casablanca,casablanca,pme  it  telecom,Non spécifié,cdi,diplôme,3-5 ans,profil recherché un diplôme de niveau bac  5 en informatique spécialisation en data une expérience dau moins 4 ans dans le même poste avec des responsabilités de gestion excellente organisation et gestion des tâches capacité à établir des relations interpersonnelles solides aptitude à travailler en équipe et à collaborer efficacement compétences en communication et capacité découte active esprit analytique et aptitude à synthétiser les informations engagement et implication dans le travail propension à proposer des idées novatrices et à contribuer au développement de léquipe,non spécifié,responsabilité organisation communication écoute,organisation et gestion des tâches capacité à établir des relations interpersonnelles solides aptitude à travailler en équipe et à collaborer efficacement compétences en communication et capacité découte active esprit analytique et aptitude à synthétiser les informations engagement et implication dans le travail propension à proposer des idées novatrices et à contribuer au développement de léquipe,francais,à voir sur place,0
20,dveloppeur php backend,https://www.wetech.ma/,2024-10-16,tersea,descriptif du poste dans le cadre du développement de nos projets nous recrutons un développeur php curieux et qui aime relever des challenges vous allez intégrer une équipe technique de 30 personnes et vos missions principales seront   développement de nos plateforme basée sur framework laravel et vue js  participation à la conception technique et fonctionnelle de nos projets   réalisation  développement de modules   préparation des spécifications techniques   développement de nouvelles fonctionnalités,casablanca,casablanca,pme  it  telecom,Non spécifié,cdi,bac5,3-5 ans,profil recherché une formation de bac5 en informatique et une expérience de 5 ans minimum en développement php avec framework laravel et vue js  vous justifiez dune expérience en gestion de projets informatiques   vous maîtrisez les bibliothèques jquery bootstrap  vous maîtrisez les systèmes de gestion des bases de données mysql  la maitrise du développement avec lasterisk est un plus  vous êtes en veille permanente sur les évolutions technologiques  vous êtes doté dun bon relationnel et le le goût du challenge  vous êtes volontaire et autonome,php laravel iot jquery bootstrap bases de données mysql,relationnel goût du challenge,php laravel expérience en gestion de projets informatiques maîtrisez les bibliothèques maîtrisez les systèmes de gestion des bases de données mysql,francais,a voir sur place,0
