id,titre,site_name,date_publication,nom_entreprise,description_poste,region,ville,secteur_activite,metier,type_contrat,niveau_etudes,experience,profil_recherche,hard_skills,soft_skills,competences_recommandees,langue,salaire,teletravail,type_contrat_encoded,langue_encoded
11,Développeur Senior Fullstack,https://www.wetech.ma/,2024-11-08,Giantlink,Descriptif du poste  Assurer la livraison des développements des tâches attribuées   valuation de la complexitéestimation du temps des tâches de développement  Mise en uvre des tâches planifiées dans loutil de gestion de tickets  Respect des délais de développement  Apporter lexpertise technique aux différents projets selon leur domaine   Participer à la conception des nouveaux projets  Apporter des solutions techniques sur des projets en cours ou existants  Pouvoir livrer rapidement des prototypes fonctionnels  Remonter les problèmes techniques repérés lors des développements et maintenances   Mettre au courant léquipe lors dun problème jugé important repéré dans le code  Signaler des dysfonctionnements en production  Partager les connaissances techniques et métier au sein de léquipe de développement  o Assister les autres développeurs ayant besoin daide sur un projettâche o Apporter des éléments de réponse et des solutions au support technique  Participer pleinement au quotidien du projet et de léquipe DevOps  Participation aux cérémonies scrum  daily 9h00 sprint planning sprint review refinement retrospectives  Participations aux séances éventuelles de travail avec les autres équipes  produits et solutions DevOps Embedded Services Clients,Fes,Fes,PME  IT  Telecom,Non spécifié,CDI,Non spécifié,Non spécifié,Profil Recherché  Expérience de 5 ans minimum à un poste équivalent  8 ans dexpérience minimum en développement logiciel et architecture Microservices API REST  Node JS HTML  CSS  React  Maîtrise des pratiques dintégration et de déploiement continus CICD  Maitrise dun large spectre de technologies Cloud et Logiciel  Bonne connaissance du Product Management  Rompu au fonctionnement scrum  Langue de travail  Français Niveau Anglais  B2,React CICD Cloud Français Anglais,Non spécifié,développement logiciel API REST React Maîtrise des pratiques dintégration et de déploiement continus CICD scrum,Français Anglais,à négocier,0,0,-1
12,Consultants Techniques Senior ServiceNow,https://www.wetech.ma/,2024-11-08,Giantlink,Descriptif du poste Nous sommes à la recherche de consultants techniques expérimentés sur la plateforme ServiceNow pour rejoindre notre équipe dynamique Si vous avez une expertise dans limplémentation la configuration et la personnalisation de ServiceNow nous voulons vous entendre  Vos principales responsabilités seront les suivantes   Analyser les besoins des clients et proposer des solutions adaptées sur ServiceNow  Personnaliser et configurer les modules en fonction des exigences clients  Assurer le support technique et former les utilisateurs pour garantir leur autonomie  Collaborer étroitement avec les équipes projet afin dassurer la réussite des déploiements,Fes,Fes,PME  IT  Telecom,Non spécifié,CDI,Bac5,Expérience avérée de 3 ans,Profil Recherché  Bac5 ou un diplôme équivalent dans le développement informatique  Expérience avérée de 3 ans et plus sur ServiceNow modules ITSM ITOM ITBM etc  Compétences en développement JavaScript HTML CSS  Connaissance des bonnes pratiques ITIL  Capacité à travailler en équipe et à communiquer efficacement avec les clients  Certifications ServiceNow,Java,Non spécifié,Compétences en développement JavaScript HTML CSS  Connaissance des bonnes pratiques ITIL  Capacité à travailler en équipe et à communiquer efficacement avec les clients  Certifications ServiceNow,Francais,à négocier,0,0,-1
13,Stage rémunéré à Fès Technicien systèmes et réseaux,https://www.wetech.ma/,2024-11-08,Giantlink,Descriptif du poste GIANTLINK propose des opportunités de stage pour des candidats ayant déjà obtenu un diplôme dans le domaine de linformatique sans restriction quant au type de stage recherché PFE stage conventionné etc Les missions principales consisteront à assurer la gestion linstallation et la maintenance du matériel informatique y compris les postes informatiques et périphériques,Fes,Fes,PME  IT  Telecom,Non spécifié,Stage,Bac  2,Non spécifié,Profil Recherché Bac  2 ou plus en réseaux et telecom Bonne communication en français Anglais souhaitable,français Anglais,communication,communication en français Anglais souhaitable,français Anglais,Stage rémunéré,0,2,-1
14,Stage rémunéré Développeur Informatique,https://www.wetech.ma/,2024-10-31,Giantlink,Descriptif du poste GIANTLINK offre des opportunités de stage pour des candidats ayant obtenu un diplôme en informatique Les principales missions incluront le développement et la maintenance de logiciels la participation à la conception dapplications web ainsi que le support technique des utilisateurs,Fes,Fes,PME  IT  Telecom,Non spécifié,Stage,diplôme de Bac2,Non spécifié,Profil Recherché Nous recherchons des profils motivés qui ont un diplôme de Bac2 et plus pour un stage à Fès passionnés par le développement informatique Vous serez impliqué dans le codage le test et le déploiement de solutions logicielles ainsi que dans loptimisation des performances des applications Une sensibilisation aux pratiques de développement sécurisé et à la gestion de versions est attendue,Non spécifié,Non spécifié,Non spécifié,Francais,Stage rémunéré,0,2,-1
15,Ingénieur DevOpsIngénieure DevOps,https://www.wetech.ma/,2024-10-16,Cnexia,Descriptif du poste As a DevOps Engineer your main responsibilities will be as follows Configure and maintain Kubernetes environments Monitoring of Kubernetes environments troubleshoot and resolve issues Implement and maintain infrastructure and tools for continuous integration and delivery Implement and maintain monitoring and logging systems to ensure system performance and reliability Troubleshoot and resolve issues with software systems and infrastructure Develop and maintain automated testing and deployment scripts Ensure compliance with security and regulatory requirements,Rabat,Rabat,Grande entreprise  IT  Telecom,Non spécifié,CDI,University or college degree in engineering,Minimum of 3 years,Profil Recherché University or college degree in engineering computer sciences physic mathematics or relevant experience in equivalent domain Excellent communication skills in english Minimum of 3 years experience in Kubernetes Administration Openshift Native K8s EKS GKE Containers Docker etc CICD Pipeline Tools Gitlab Runners Helm Charts YAML scripting ArgoCD Openshift Pipelines etc System Adminstration Linux Scripting in Bash Python etc,Kubernetes Docker CICD Gitlab Linux Python,communication,experience in equivalent domain Excellent communication skills in english Minimum of 3 years experience in Kubernetes Administration Docker CICD Gitlab Python,Francais,TBN,0,0,-1
16,Intégrateurs Web Polyvalents  Agence Digitale  CASABLANCA,https://www.wetech.ma/,2024-10-16,Paul et José,Descriptif du poste Lintégrateur web chez Paul  José a pour mission dassembler de la façon la plus optimale différents éléments composant un site Pour réaliser sa mission lintégrateur web manipule certaines technologies du web dynamique tels que javascript html CSS et autres afin dintégrer  texte image tableaux et liens hypertextes Suite à cela il adapte le site aux différentes plateformes Ordinateurs téléphones tablettes et vérifie de même sa compatibilité avec les différents navigateurs Il réalise ainsi de multiples tests et corrige les éventuelles défaillances Il participe activement à la préparation du projet lors de la phase de réflexion et il use de son savoirfaire pour apporter un point de vie et suggérer des solutions techniques Pour faire face à son rapide développement PAUL  JOS recrute une intégrateur débutant pour la découpe et lintégration de sites ainsi que pour la mise en place de notre CMS sur nos maquettes,Casablanca,Casablanca,PME  Marketing  Communication  Média,Non spécifié,CDI,Non spécifié,Non spécifié,Profil Recherché Votre polyvalence est votre force   Vous codez le HTML 5CSS3 et le javascript jquery les yeux fermés sur bloc note   Vous maîtrisez les grids et Bootstrap et savez rendre vos sites responsifs   Vous êtes capable de comprendre un code php et le modifier   Soucieux de laccessibilité vous accordez une grande importance à ce que vos sites soient aux normes W3C et fonctionnent parfaitement sous Firefox IE Safari et Chrome   Vous êtes un enfant du web curieux des dernières avancées de votre métier et vous vous intéressez à chacune des étapes de la production de la conception de la maquette au référencement sur les principaux moteurs de recherche   Issue dune formation dédiée aux techniques du développement web vous justifiez dune expérience dans une fonction similaire stage accepté et pouvez présenter des travaux   Votre personnalité et votre capacité danalyse vous permettront dêtre autonome dans un processus collectif et davoir conscience de la satisfaction client   Vous êtes organisée rigoureuxse et savez tenir des délais La langue française na pas de secret pour vous,CSS3 java jquery Bootstrap php access français,polyvalence capacité danalyse,polyvalence est votre force java maîtrisez les grids et Bootstrap et savez rendre vos sites responsifs comprendre un code php et le modifier présenter des travaux analyse vous permettront dêtre autonome dans un processus collectif et davoir conscience de la satisfaction client,français,Plan de carriere,0,0,0
17,Full Stack Software Developer,https://www.wetech.ma/,2024-10-16,Cnexia,Descriptif du poste As a Full stack software developer your main responsibilities will be as follows Participate actively in the development and implementation of automation scripts leveraging advanced programming techniques to enhance operational efficiency Assume responsibility for the configuration and integration of RAN components ensuring their alignment with stringent quality and performance standards Conduct thorough troubleshooting investigations to identify and resolve network issues minimizing downtime and maximizing network availability Stay abreast of the latest advancements in 5G RAN technologies actively contributing to knowledge sharing and dissemination within the team Foster a culture of continuous improvement by identifying opportunities for process optimization and implementing innovative solutions Provide technical guidance and support to other team members fostering a collaborative and supportive work environment Document all software development and troubleshooting activities ensuring comprehensive knowledge transfer and adherence to best practices Comply with all relevant safety security and regulatory guidelines demonstrating a commitment to maintaining a secure and compliant network environment,Rabat,Rabat,Grande entreprise  IT  Telecom,Non spécifié,CDI,University or college degree in engineering,Minimum of 3 years,Profil Recherché University or college degree in engineering computer sciences physic mathematics or relevant experience in equivalent domain Excellent communication skills in english Minimum of 3 years experience in Kubernetes native application development skill Expertise in Git and CICD pipelines with Cloud application developments Proficiency in programming languages such as Python Java and PHP Familiarity with Linux communications protocols and architectures including TCPIP and OSI models Some basic knowledge with RAN tools nokiaNetact or ericssonENMAmos,Kubernetes CICD Cloud Python Java PHP Linux TCPIP,communication,experience in equivalent domain Excellent communication skills in english Minimum of 3 years experience in Kubernetes native application development skill Expertise in Git and CICD pipelines with Cloud application developments Proficiency in programming languages such as Python Java and PHP Familiarity with Linux communications protocols and architectures including TCPIP and OSI models Some basic knowledge with RAN tools nokiaNetact or ericssonENMAmos,Francais,Non spécifié,0,0,-1
18,Testeur QA Automaticien,https://www.wetech.ma/,2024-10-16,Matys,Descriptif du poste Nous recrutons pour notre client éditeur de logiciel de gestion Français un ingénieur Test automatisé qui aura comme mission lintégration des tests automatisés dans DevOps,Rabat,Rabat,PME  IT  Telecom,Non spécifié,CDI,Non spécifié,confirmé,Profil Recherché  Expérience confirmée dans le testing 3 ans minimum  Maitrise dun outil dautomatisation Ranorex Telerik Test Studio UFT Selenium et de la méthodologie BDD Gherkin  Maîtrise dun ou de plusieurs langages de programmation C Azure DevOps CICD Pipeline JMeter LoadRunner  Connaissance de la méthodologie Agile PREREQUIS  Ethique  Sens de la discrétion et de la confidentialité MISSIONS  Participer à la mise en place de la testing factory  Accompagner fortement les équipes Produits dans la mise en place de la stratégie dautomatisation de tests autour des méthodologies de tests BDD Gherkin TDD et E2E avec Ranorex  Intégrer chaque produit pendant une courte période et réaliser des POC utilisableS  Former les testeurs automatisés pour une montée en compétence sur la méthodologie Gherkin  Sécuriser lintégration des tests automatisés TU TI Tests fonctionnels Tests de performance dans DevOps accompagner fortement les ingénieurs DeVops et SRE dans la sécurisation des MEPs  tre disponible pour les testeurs manuels pour un accompagnement dans la rédaction des cas de tests candidats à lautomatisation COMPETENCES Force de proposition Aisance relationnelle Rigueur Capacité à travailler en mode projet Esprit danalyse et de synthèse et réactivité,C Azure CICD,Aisance relationnelle Rigueur synthèse,Selenium Maîtrise dun ou de plusieurs langages de programmation C Azure DevOps CICD Pipeline JMeter LoadRunner  Connaissance de la méthodologie Agile PREREQUIS  Ethique  Sens de la discrétion et de la confidentialité MISSIONS  Participer à la mise en place de la testing factory  Accompagner fortement les équipes Produits dans la mise en place de la stratégie dautomatisation de tests autour des méthodologies de tests BDD Gherkin TDD et E2E avec Ranorex  Intégrer chaque produit pendant une courte période et réaliser des POC utilisableS  Former les testeurs automatisés pour une montée en compétence sur la méthodologie Gherkin  Sécuriser lintégration des tests automatisés TU TI Tests fonctionnels Tests de performance dans DevOps accompagner fortement les ingénieurs DeVops et SRE dans la sécurisation des MEPs  tre disponible pour les testeurs manuels pour un accompagnement dans la rédaction des cas de tests candidats à lautomatisation COMPETENCES Force de proposition Aisance relationnelle Rigueur Capacité à travailler en mode projet Esprit danalyse et de synthèse et réactivité,Francais,Package intéressant,0,0,-1
19,Ingénieur Data Sénior,https://www.wetech.ma/,2024-10-16,Tersea,Descriptif du poste En tant que professionnel chargé de la gestion des données vous effectuez la collecte lorganisation et la modélisation des données pour les rendre accessibles Vous êtes également responsable de la veille technologique afin de rester à jour des avancées dans le domaine des données Votre expertise est essentielle et prise en compte lors des prises de décision au sein du groupe Vos missions consistent à Concevoir des solutions pour collecter organiser et synthétiser de gros volumes de données Participer à lanalyse complexe de données provenant de différentes sources Assurer une veille technologique permettant de tester de nouvelles fonctionnalités et nouveaux outils Assurer une maintenance progressive et évolutive des solutions mise en production Documenter vos travaux Faire un usage responsable et éthique des données Maitrise des technologies  Python BDT AIRFLOW DATA INTEGRATION  ELT Expérience en data visualisation avec tableau est un plus Systèmes dexploitation  Linux Windows Connaissances en solutions de bases de données  SQL NoSQL inmemory database Connaissance générale en termes de Big Data Proposition darchitectures et doptimisation de la base de données Mener et animer les réunions entre les différentes parties prenantes Recueillir et Spécifier les exigences liées à la base de données Mettre en place des actions préventives pour le monitoring de la base de données Production et communication des rapports analytiques,Casablanca,Casablanca,PME  IT  Telecom,Non spécifié,CDI,diplôme,au moins 4 ans,Profil Recherché Un diplôme de niveau Bac  5 en Informatique spécialisation en DATA Une expérience dau moins 4 ans dans le même poste avec des responsabilités de gestion Excellente organisation et gestion des tâches Capacité à établir des relations interpersonnelles solides Aptitude à travailler en équipe et à collaborer efficacement Compétences en communication et capacité découte active Esprit analytique et aptitude à synthétiser les informations Engagement et implication dans le travail Propension à proposer des idées novatrices et à contribuer au développement de léquipe,Non spécifié,responsabilité organisation communication écoute,organisation et gestion des tâches Capacité à établir des relations interpersonnelles solides Aptitude à travailler en équipe et à collaborer efficacement Compétences en communication et capacité découte active Esprit analytique et aptitude à synthétiser les informations Engagement et implication dans le travail Propension à proposer des idées novatrices et à contribuer au développement de léquipe,Francais,à voir sur place,0,0,-1
20,Développeur PHP backend,https://www.wetech.ma/,2024-10-16,Tersea,Descriptif du poste Dans le cadre du développement de nos projets Nous recrutons un Développeur PHP curieux et qui aime relever des challenges vous allez intégrer une équipe technique de 30 personnes et vos missions principales seront   Développement de nos plateforme basée sur framework laravel et Vue JS  Participation à la conception technique et fonctionnelle de nos projets   Réalisation  développement de modules   Préparation des spécifications techniques   Développement de nouvelles fonctionnalités,Casablanca,Casablanca,PME  IT  Telecom,Non spécifié,CDI,Bac5,une expérience de 5 ans,Profil Recherché Une formation de Bac5 en Informatique et une expérience de 5 ans minimum en développement Php avec framework LARAVEL et Vue JS  Vous justifiez dune expérience en gestion de projets informatiques   Vous maîtrisez les bibliothèques jquery bootstrap  Vous maîtrisez les systèmes de gestion des bases de données mysql  La maitrise du développement avec lasterisk est un plus  Vous êtes en veille permanente sur les évolutions technologiques  Vous êtes doté dun bon relationnel et le le goût du challenge  Vous êtes volontaire et autonome,Php LARAVEL iot jquery bootstrap bases de données mysql,relationnel goût du challenge,Php LARAVEL expérience en gestion de projets informatiques maîtrisez les bibliothèques maîtrisez les systèmes de gestion des bases de données mysql,Francais,A voir sur place,0,0,-1
